publication,volcano,eruption,data_doi,chemistry,bulk_sio2,bulk_na2o_k2o,glass_sio2,glass_na2o_k2o,chemistry_doi,rock_experiment_type,subaerial_submarine,eff_exp,sample_no,bulk_porosity,connected_porosity,connectivity,permeability_k1,permeability_k2,vesicle_number_density,s_polydispersivity,total_crystallinity,phenocrystallinity,microcrystallinity,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,72,87.24,83.24,0.954,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,64,86.60,85.51,0.987,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,59,85.97,82.34,0.958,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,91,85.12,71.95,0.845,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,49,85.02,79.72,0.938,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,11,84.62,79.93,0.945,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,71,84.54,78.63,0.930,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,6,84.44,80.70,0.956,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,40,83.77,76.57,0.914,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,8,83.77,79.49,0.949,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,25,83.34,81.16,0.974,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,75,83.22,76.29,0.917,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,85,83.10,79.77,0.960,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,44,83.07,78.70,0.947,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,3,83.02,79.57,0.959,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,14,82.96,78.60,0.947,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,84,82.75,79.29,0.958,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,69,82.66,78.61,0.951,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,66,82.65,76.78,0.929,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,22,82.59,78.64,0.952,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,47,82.49,72.74,0.882,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,41,82.46,76.34,0.926,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,45,82.39,78.77,0.956,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,18,82.22,76.48,0.930,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,1,82.16,77.36,0.942,,,,,,,,
Colombier et al. 2017a,Stromboli,"2013, High intensity strombolian",https://doi.org/10.1016/j.epsl.2017.01.011,Basalt,,,,,,Scoria,Subaerial,Explosive,5,82.04,77.36,0.943,,,,,,,,
